market_slug,asset_id,market_id,event_type,price,side,size,hash,timestamp
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.99,ask,5783.21,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.98,ask,1280,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.97,ask,200524,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.96,ask,158.19,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.95,ask,200,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.94,ask,22618,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.93,ask,886.41,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.92,ask,2687.5,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.91,ask,500,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.9,ask,428.4,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.01,bid,5413.13,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.02,bid,1880,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.03,bid,764,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.04,bid,150,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.05,bid,150,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.06,bid,354,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.07,bid,200,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.08,bid,8.41,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.11,bid,16.83,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.5,bid,17.24,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.53,bid,8.42,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.76,bid,20351,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.8,bid,300,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.81,bid,419,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.82,bid,369,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.83,bid,43662,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.84,bid,11904.76,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.85,bid,7318,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.86,bid,2000,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.87,bid,1150,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.88,bid,15000,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,69914706812031101951049531120900340169395862316104481966892624817001606069729,,book,0.89,bid,41.81,b2f6c674a21d1080a2eb98d01e80b068a1ae54ee,1750361006468
mlb-laa-nyy-2025-06-19,70820620849518559226043625033205367325199579790475446490259310876146340166918,,book,0.99,ask,5413.13,32f3653bf369175217e9bfe2426f992492897ab5,1750361006468
mlb-laa-nyy-2025-06-19,70820620849518559226043625033205367325199579790475446490259310876146340166918,,book,0.98,ask,1880,32f3653bf369175217e9bfe2426f992492897ab5,1750361006468
mlb-laa-nyy-2025-06-19,70820620849518559226043625033205367325199579790475446490259310876146340166918,,book,0.97,ask,764,32f3653bf369175217e9bfe2426f992492897ab5,1750361006468
mlb-laa-nyy-2025-06-19,70820620849518559226043625033205367325199579790475446490259310876146340166918,,book,0.96,ask,150,32f3653bf369175217e9bfe2426f992492897ab5,1750361006468
mlb-laa-nyy-2025-06-19,70820620849518559226043625033205367325199579790475446490259310876146340166918,,book,0.95,ask,150,32f3653bf369175217e9bfe2426f992492897ab5,1750361006468
mlb-laa-nyy-2025-06-19,70820620849518559226043625033205367325199579790475446490259310876146340166918,,book,0.94,ask,354,32f3653bf369175217e9bfe2426f992492897ab5,1750361006468
mlb-laa-nyy-2025-06-19,70820620849518559226043625033205367325199579790475446490259310876146340166918,,book,0.93,ask,200,32f3653bf369175217e9bfe2426f992492897ab5,1750361006468
mlb-laa-nyy-2025-06-19,70820620849518559226043625033205367325199579790475446490259310876146340166918,,book,0.92,ask,8.41,32f3653bf369175217e9bfe2426f992492897ab5,1750361006468
