market_slug,market_id,asset_id,outcome_name,event_type,price,side,size,hash,timestamp
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.75,SELL,5000.0,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.71,SELL,200.0,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.51,SELL,23437.0,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.5,SELL,50.0,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.49,SELL,19.6,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.48,SELL,9705.0,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.47,SELL,28828.0,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.46,SELL,86927.0,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.45,SELL,104332.47,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.44,SELL,16175.88,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.43,SELL,289.71,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.01,BUY,47.36,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.25,BUY,5000.0,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.29,BUY,200.0,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.35,BUY,24748.0,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.36,BUY,900.0,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.37,BUY,50.0,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.38,BUY,9045.0,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.39,BUY,28794.64,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.4,BUY,85920.0,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.41,BUY,71529.56,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,94317154326561965027655812423877754707705673001659235398588803641579156678969,,book,0.42,BUY,37807.33,b474bb340334e5116ef97f9209239f15a32526bb,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.99,SELL,47.36,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.75,SELL,5000.0,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.71,SELL,200.0,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.65,SELL,24748.0,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.64,SELL,900.0,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.63,SELL,50.0,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.62,SELL,9045.0,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.61,SELL,28794.64,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.6,SELL,85920.0,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.59,SELL,71529.56,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.58,SELL,37807.33,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.25,BUY,5000.0,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.29,BUY,200.0,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.49,BUY,23437.0,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.5,BUY,50.0,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.51,BUY,19.6,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.52,BUY,9705.0,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.53,BUY,28828.0,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.54,BUY,86927.0,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.55,BUY,104332.47,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
mlb-kc-sea-2025-07-01,557552,5408534529446171144541288181251163320097985326061739733624013186344309812298,,book,0.56,BUY,16175.88,a444f0fff18afdf5a55c6e735eed94054d3741e6,1751413819234
