market_slug,asset_id,market_id,event_type,price,side,size,hash,timestamp
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,,book,0.99,ask,4344,cab8c383c6d738bee1300061e2d814be2fca851d,1750356411824
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,,book,0.98,ask,1780,cab8c383c6d738bee1300061e2d814be2fca851d,1750356411824
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,,book,0.97,ask,1044,cab8c383c6d738bee1300061e2d814be2fca851d,1750356411824
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,,book,0.96,ask,150,cab8c383c6d738bee1300061e2d814be2fca851d,1750356411824
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,,book,0.95,ask,150,cab8c383c6d738bee1300061e2d814be2fca851d,1750356411824
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,,book,0.94,ask,525,cab8c383c6d738bee1300061e2d814be2fca851d,1750356411824
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,,book,0.93,ask,200,cab8c383c6d738bee1300061e2d814be2fca851d,1750356411824
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,,book,0.91,ask,100,cab8c383c6d738bee1300061e2d814be2fca851d,1750356411824
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,,book,0.5,ask,25,cab8c383c6d738bee1300061e2d814be2fca851d,1750356411824
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,,book,0.32,ask,17071,cab8c383c6d738bee1300061e2d814be2fca851d,1750356411824
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,,book,0.26,ask,419,cab8c383c6d738bee1300061e2d814be2fca851d,1750356411824
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,,book,0.25,ask,41652.66,cab8c383c6d738bee1300061e2d814be2fca851d,1750356411824
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,,book,0.23,ask,7348,cab8c383c6d738bee1300061e2d814be2fca851d,1750356411824
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,,book,0.22,ask,20605,cab8c383c6d738bee1300061e2d814be2fca851d,1750356411824
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,,book,0.21,ask,3265,cab8c383c6d738bee1300061e2d814be2fca851d,1750356411824
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,,book,0.19,ask,842.41,cab8c383c6d738bee1300061e2d814be2fca851d,1750356411824
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,,book,0.01,bid,5644,cab8c383c6d738bee1300061e2d814be2fca851d,1750356411824
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,,book,0.02,bid,2780,cab8c383c6d738bee1300061e2d814be2fca851d,1750356411824
mlb-col-wsh-2025-06-19,57278040826950167996403416380592543349086189871817367829986924284247844289864,,book,0.03,bid,1090,cab8c383c6d738bee1300061e2d814be2fca851d,1750356411824
